,title,price,nbn,address,text,area,type,lattitude,longitude
10,"44/445 Upper Edward Street, Spring Hill, QLD 4000 - For Sale - Offices ",$250K + GST,Not Currently Available,"445 Upper Edward Street, Spring Hill, QLD","On offer is an attractive 53m2 office suite located in the Astor Centre on Upper Edward Street, Spring Hill. It offers a prime position within the building which provides the strata with attractive city and urban views.
Currently offering a quality fit out that features 2 offices, reception and an open plan area ensuring an efficient use of space and natural light.
Suitable for an owner occupier or an entry level investor.
- 53m2
- Panoramic city views
- Great public transport links
- Ample natural light
- Adjoins the Astor Terrace Car Parking facility.
Located in the hub of Spring Hills commercial precinct on Upper Edward Street between Leichhardt Street and Astor Terrace the property is within close proximity to the CBD, Central Train Station and local amenities including banks, shops, restaurants and Boutique Hotels.
Please call Geoff Esdale for further information and to schedule your inspection.",53m²,Medical,-27.4634934,153.024772
11,"Suite 7, 1 Ricketts Road, Mount Waverley, VIC 3149 - Sale / Lease - Offices - ID: 343334","$895,000",Not Currently Available,"1 Ricketts Road, Mount Waverley, VIC","POINT OF INTEREST:
Featuring a ground floor position and recently fully renovated, Suite 7 / 1 Ricketts Road available for sale or lease is a business move worth a closer look!
Comprising 175m2* this property offers a terrific opportunity for commercial office , retail space, cafe or medical. The suite also benefits from it's own male and female amenities, fully renovated kitchenette, bi-fold doors to access the courtyard (dual access) with great natural light exposure and has a tranquil outlook from inside and out.
Property features:
- Building area: 175m2*
- 6 Allocated car spaces included in rental
- Ducted heating and air conditioning
- Male / female amenities
- Gas connection available
- Alarm system
- Special Use Zone 6 (SUZ6)
POINT OF VIEW:
Located a stones throw from the Monash Freeway providing easy access to the Melbourne CBD or Eastern suburbs, the property also benefits from it's close proximity to major arterial roads that include Forster Road, Blackburn Road and Ferntree Gully Road.
Ricketts Road features many high profile businesses including Metricon, Australian Paper, St John Ambulance, Australia Post, and is within the Monash Technology precinct including Monash University and The Synchrotron.
*Approx.
Pricing excludes GST",175m²,NaN,-37.8940585,145.1311805
12,"5 & 6, 159 Boronia Road, Boronia, VIC 3155 - For Sale - Other - ID: 381500",Contact Agent,Service Available - Fibre to the curb (FTTC),"159 Boronia Road, Boronia, VIC","This well located double shop is on the market for sale as an investment.  The property which is known as shop 5 & 6 / 159 Boronia Road, Boronia is on one title.  The double shop is leased to Esther Sun and Rita Sun trading as Mums Burger Kitchen. The current tenants have been located at the shop for 6 years.  The tenants have a 4 year lease which commenced on the 1st of October 2019, the current rental is $20,400 per annum plus GST plus outgoings.  The lease includes 3 further option of 4 years. This smart investment is either an excellent opportunity to enter the commercial investment market or add to your portfolio.
Further features of the property include:
- Great location
- Ample customer car parking
- Rear access
- Building size: 104 square metres
- Securely leased
- Walking distance to Boronia train station
- Major tenants in close proximity: Dan Murphy’s and Safeway",104m²,NaN,-37.8616355,145.2827324
13,"25, 132 Keys Road, Cheltenham, VIC 3192 - EOI - Retail - ID: 385540",Contact Agent,Service Available - Fibre to the curb (FTTC),"132 Keys Road, Cheltenham, VIC","POINT OF INTEREST:
Expressions Of Interest Closing 15th April 2021 at 2pm.
Built to service Modus Business Estate that comprises of 25 units, this 88 sqm* retail space is home to Bambam Deli, who have developed a cult following. Beyond their array of 5-star Google reviews online, with people proclaiming to come from as far as the outer Western Suburbs, they provide a healthy rental income just shy of $40,000 per annum. A set and forget investment for the owner, whilst being a memorable eatery for all who come in.
Located just 170 m* off Warrigal Road and surrounded by dozens of major retailers including Bunnings, Sydney Tools, Fantastic Furniture and more, the traffic going past this property from the ever-busy Keys Road will ensure there’s always a foot in the door.
- Building area of 88 sqm*.
- Currently tenanted by Bambam Deli.
- Current rental income of $39,181.08 P.A Net.
- Current term of eight years (commenced 15/01/2018).
- Further term of eight years.
- Security bond of $20,625.
- 4% annual increases.
- Three car spaces.
POINT OF VIEW:
In a city known for great coffee, 75 5-star Google reviews on this tenant proves Melburnians consider them worth it. And 39,181 reasons why they’ll be your favourite local.
*Approx.
Pricing excludes GST",88m²,NaN,-37.9497892,145.0755316
14,"Lot 28/198 Adelaide Street, Brisbane City, QLD 4000 - Sale / Lease - Retail ",$499K,Not Currently Available,"198 Adelaide Street, Brisbane City, QLD","- 49m2 Retail Shop
- Open space with front counter
- Back storage / change room
- Prominent CBD location
- Suit a multitude of owners - occupy or lease out
- Priced to sell - Motivated vendor
An opportunity to purchase this well positioned 49m2 strata shop in the heart of Brisbane's' CBD. Located within the iconic heritage listed Anzac Square Arcade, this location experiences high foot traffic on a weekly basis.
Surrounded by a selection of retailers and professionals the shop is well placed for a variety of different businesses.
Please call Chris Esdale for further information and to schedule your inspection.",49m²,Offices,-27.4671887,153.0263743
15,"2/25 Valance Street, Oxley, QLD 4075 - For Sale - Retail ","$175,000",Service Available - Fibre to the node (FTTN),"25 Valance Street, Oxley, QLD","This commercial shop in Oxley is now available for sale. This is the perfect opportunity for an owner occupier to run their business from the premises or for a keen investor.
- 85m2 NLA plus separate amenities block
- Open plan space with high ceilings
- Glass shopfront with awning
- Fully Air Conditioned & includes kitchenette
- Rear lane access to property
- Well positioned for easy street parking
The location offers easy access to major arterials such as the Ipswich Motorway and Blunder Road. Oxley is approximately only 10kms from the Brisbane CBD, and a short distance to both Darra and Oxley Train Station with other local amenities in the area.
Please contact Exclusive Agent Chris Esdale for further information and to schedule your inspection.",85m²,Offices,-27.56333,152.969006
16,"Suite 15 58-62 Fitzwilliam Road, Old Toongabbie, NSW 2146 - Sale / Lease - Offices - ID: 385089","$425,000",Service Available - Fibre to the building (FTTB),"15 58-62 Fitzwilliam Road, Old Toongabbie, NSW","55sqm Modern Office Suite within a Brand New Mixed Residential/Commercial Building
* 55sqm office including small balcony
* Split system air-conditioning
* LED lighting throughout
* Security alarmed with cameras
* Built-in kitchenette
* One (1) x secure car space
* Abundance of visitor parking
* Shared male / female + disabled toilets
* Walking distance to IGA & café
To arrange an inspection, please contact the listed Agent.
© 2021 Niemeyer Commercial Industrial Property.",55m²,NaN,-33.7862591,150.9663499
17,"35/131 Leichhardt Street, Spring Hill, QLD 4000 - For Sale - Offices ",SUBMIT ALL OFFERS,Not Currently Available,"131 Leichhardt Street, Spring Hill, QLD","This Spring Hill property located at 35/131 Leichhardt Street represents an attractive opportunity for an owner occupier. Take full advantage of the easy access to parking and public transport and the close proximity to Brisbane CBD.
- 71m2 first floor professional suite
- Quality presentation with quality fit out
- Features multiple office spaces, meeting room, reception area and kitchenette
- Located in the business precinct of Spring Hill
- Plenty of natural light
- Alarm system
- One (1) car park available for purchase on separate title in the Astor Centre for $45,000 + GST
Spring Hill is located just metres to the City centre and neighbours Fortitude Valley, the precinct is home to hospitals and schools, and a strong business community. The Brisbane City Councils draft neighbourhood plan for the area aims to encourage the revitalisation of the precincts commercial, retail and dining amenity, whilst preserving its unique heritage characteristics.
Please call the Exclusive Marketing Agent Geoff Esdale for further information and to schedule your inspection",71m²,Medical,-27.4629169,153.0251978
18,"156 Waterworks Road, Ashgrove, QLD 4060 - For Sale - Retail ",$1.2M + GST,Service Available - Hybrid Fibre Coaxial (HFC),"156 Waterworks Road, Ashgrove, QLD","A well-positioned and well-presented free-standing building located on a prominent corner on Waterworks Road, Ashgrove is now available for sale. This is your chance to establish your business in a thriving area.
•	Internal 100m2 (approx.)
•	Land 433m2 (approx.)
•	Multiple office areas / bathroom / end of trip facilities
•	Dual access from front and rear
•	Multi use premises – Ideally suit owner occupier / professional, IT, creative, beauty and more
•	Superb location with huge exposure / signage opportunity
•	Surrounded my residential and retail
•	Exclusive car park at rear - 7 parks
•	Storage + additional bathroom under house
•	Security system in place
Ashgrove is only 6kms to the CBD and is within close proximity to a variety of major arterials. The area benefits from a great selection of retail amenities, government facilities and public transport links.
Please call Exclusive Marketing Agent Geoff Esdale for further information and to schedule your inspection.",100m²,Offices,-27.4462968,152.9972479
19,"Shop 5/159 Logan Road, Woolloongabba, QLD 4102 - For Sale - Retail ","$925,000",Service Available - Fibre to the building (FTTB),"159 Logan Road, Woolloongabba, QLD","RE/MAX is excited to offer to the market this fully fitted Café / Restaurant under Eastwood Apartments in Woolloongabba. Ideally situated amongst Woolloongabba's concentrated commercial / residential area with a large frontage to busy Logan Road, this cracking corner spot is poised to take full advantage of the high level of constant thoroughfare through the area.
- Long Term Lease
- 104m2* fully fitted restaurant / café
- Large outdoor alfresco dining
- Corner position with major branding options
- Full commercial kitchen with refrigeration facilities
- Surrounded by retail / residential / commercial
- Light and bright open space with full glass frontage
- Public transport on doorstep
- 5.5km from Brisbane CBD
A great inner city location, minutes to the CBD, Mater Hospital, and major arterial roads.
Please call Geoff or Chris Esdale for further information or to schedule your inspection.
*Approx",104m²,Showrooms,-27.4920544,153.0405597
20,"511 Vulture Street East, East Brisbane, QLD 4169 - For Sale - Development/Land ",Submit All Offers,Build Commenced,"511 Vulture Street East, East Brisbane, QLD","- 819m2 corner site with 2 buildings
- 3 x 2 bedroom units and 1 x 4 bedroom unit
- Zoning - QPP- LMR2
- Dual street frontage - 50.4 metres (approx.) to Norman Street and 18 metres (approx.) to Vulture Street
- In close proximity to the Gabba and the planned Cross River Redevelopment Project, reinvigorating the suburb profile
- Located in a high demand inner city suburb
- Minutes to retail, cafe/dining, schools and public transport
Occupying a prominent corner position on Vulture Street East and Norman Street the property is sited on a 810m2 block and is an ideal investment opportunity. Offering 4 tenanted flats (over 2 separate buildings) plus 2 unregistered flats with a holding income.
This opportunity represents an exciting development opportunity ideally suited to townhouses / apartments / subdivision etc (STCA).
East Brisbane is located 2.5kms south - east of the Brisbane CBD. Predominantly a residential suburb with pockets of commercial development, the area is gaining in popularity as the demand for buyer's increases and supply is strictly limited.
Please contact the Marketing Agent Geoff Esdale for further information and to schedule your inspection.",1m²,Other,-27.48633,153.045551
21,"615-619 Whitehorse Road, Mitcham, VIC 3132 - Sale / Lease - Showrooms ",Contact Agent,Service Available - Hybrid Fibre Coaxial (HFC),"619 Whitehorse Road, Mitcham, VIC","POINT OF INTEREST:
Purchase to invest or occupy, or simply lease to build your business in what is regarded to be the gateway to ""Mega Mile Nunawading"" to the West and only a few kilometres from the heart of the Ringwood retail and business district to the East. This modern stand alone showroom/ warehouse is on a generous site of over 3060m2*, enjoys 46 metres* of frontage and was substantially renovated and subdivided in 2016.
Well known neighbours include National Tiles, BBQ's -R-Us, F45 gyms, Total Tools, Wattyl Paint Centre, Roof Rack Superstore, Plumbers Supplies Co Op, The Mitcham Hotel, together with the Mitcham Shopping precinct with anchor Coles Supermarket and Railway Station all attracting customers to this location.
With a choice of three Whitehorse Street fronting tenancies including two showroom/office/ warehouses offering areas from 985m2* to 2,062m2* plus cafe, the possibilities are there for the taking.
615 Whitehorse Road - Showroom 1
- 985 sqm* of building area
- Impressive showroom and mezzanine display area
- Rear access with extra car parking and roller shutter door access to the warehouse
619 Whitehorse Road - Showroom 2
- 1077 sqm* of building area
- Rear access with extra car parking and roller shutter door access to the warehouse
- High quality fitout
619a Whitehorse Road - Café
- 55 sqm* plus outdoor seating
- Outdoor seating area
- Corner position and signage
POINT OF VIEW:
Position matters. Eastlink is accessed via an interchange on Whitehorse Road, 1 kilometre to the east, providing excellent access to Melbourne's freeway network. Other main roads within close proximity include: Springvale Road, Mitcham Road, and Wantirna Road. The property is serviced by public transportation with the Heatherdale Railway Station 800 metres* and Mitcham Railway Station 900 metres* away. Additionally, there is a bus service that operates along Whitehorse Road which passes by the property. Further enhancing this local area is Antonio Park, Schwerkolt Cottage Reserve and Eastlink Trail offering the opportunity for a walk or bike ride.
*Approx.
Pricing excludes GST",55m² - 2117m²,Offices,-37.816003,145.204063
22,"Level 7, Lot 38/269 Wickham Street, Fortitude Valley, QLD 4006 - For Sale - Offices ",$420K plus GST,Not Currently Available,"269 Wickham Street, Fortitude Valley, QLD","Brilliant opportunity to secure a newly renovated, industrial style office, on the 7th floor of a commercial building in the heart of Fortitude Valley. Surrounded by established businesses, including Endeavour College on ground floor, the space would ideally suit organisations looking for a boutique, creative style office - PR/Marketing/Design Agency.
The office space exudes industrial sophistication, with polished concrete floors and exposed ceilings that add character and scale.
- 99m2 NLA Open plan space
- Suit owner occupier
- 1 Large partioned room
- Kitchenette and shared amenities
- Glass frontage and air conditioning throughout
- 1 Car park included
- 1km from CBD in new building
Located in the heart of Fortitude Valley it provides an unbeatable location surrounded by local amenities, public transport and just 1km to the CBD.
Please call Geoff Esdale for further information and to schedule your inspection.",99m²,Medical,-27.4651342,153.0220698
23,"7/691 Brunswick Street, New Farm, QLD 4005 - Sale / Lease - Offices ",Contact Exclusive Agent,Service Available - Hybrid Fibre Coaxial (HFC),"691 Brunswick Street, New Farm, QLD","Conveniently positioned and with an abundance of natural light, this first floor unit is surrounded by great cafes and restaurants. The newly renovated, open plan office offers business owners and staff plenty of variety and is sure to please.
- 80m2 approx.
- 2 Exclusive carparks included
- Open plan with abundance of natural light
- Newly renovated with fresh paint and carpet
- Kitchenette in tenancy with shard amenities onsite
Within close proximity to James Street Precinct and Fortitude Valley, New Farm is only 2km east of the CBD and has excellent access to major arterials, Airport Link, ICB and Clem 7. The area is well serviced by public transport links and retail amenities.
Please call Marketing Agent Chris Esdale for further information and to schedule your inspection.",80m²,Other,-27.4645167,153.0420475
24,"Level 7, 29/445 Upper Edward Street, Spring Hill, QLD 4000 - For Sale - Offices ",$350K + GST,Not Currently Available,"445 Upper Edward Street, Spring Hill, QLD","Office space located on the 7th floor of the Astor Centre is now For Sale. It features:
- 88m2 Open plan office space
- 1 Large partioned room and sectioned off kitchenette
- Front reception with air conditioning
- Light and bright with city views
- Car park available for purchase
Spring Hill is located just metres to the City centre and neighbours Fortitude Valley, the precinct is home to hospitals and schools, and a strong business community. The Brisbane City Councils draft neighbourhood plan for the area aims to encourage the revitalisation of the precincts commercial, retail and dining amenity, whilst preserving its unique heritage characteristics.
Please call the Exclusive Marketing Agent Geoff Esdale for further information and to schedule your inspection.",88m²,Medical,-27.4634934,153.024772
25,"1, 55 Holloway Drive, Bayswater, VIC 3153 - For Sale - Other - ID: 384392","$550,000",Service Available - Fibre to the curb (FTTC),"55 Holloway Drive, Bayswater, VIC","- Building area of approximately 105 square metres
- 10 allocated car parking spaces (4 on title and 6 allocated by the body corporate)
- Operating as a cafe / food retailer for over 20 years
- Existing 5 year lease to 24-8-2025 with a 5 year option
- Passing rental of $30,000 per annum
- Fixed annual 3% rent increases",105m²,NaN,-37.8484762,145.2791482
26,"67 St Pauls Terrace, Spring Hill, QLD 4000 - Sale / Lease - Offices - ID: 383207",Contact Agent,Service Available - Fibre to the building (FTTB),"67 St Pauls Terrace, Spring Hill, QLD","Sixty-Seven St Pauls Terrace, considered one of the best-in-class office assets available in Spring Hill has recently undergone an extensive floor to ceiling and building refurbishment, offering flexibility to the market to either purchase or lease individual lots.
Positioned across seven storeys each levels boasts 360-degree views, flooding every space with natural light. The building further offers excellent on-site amenity including use of the business centre, private balconies, outdoor breakout areas, corporate lobby and fantastic end of trip facilities, arguably one of the most premium offerings to Spring Hill.
Remaining Vacancy:
• Lot 2, FF | 347sqm, 2 tenancies, 4 car parks
• Lot 3, 2F | 440sqm, 2 tenancies, 6 car parks
• Lot 5, 4F | 440sqm, open plan, 7 car parks
• Lot 6, 5F | 627sqm, open plan, 20sqm balcony, 9 car parks
• Lot 7, 6F | 607sqm, fully fitted out, 9 car parks
Location Summary:
• 50m Council Bus Stops
• 800m Central Station
• 1.3kms CityCat, Eagle Street Pier
• 1.5kms Fortitude Valley Train Station
• 900m Howard Smith Wharves
• 1.5kms James Street Precinct
For further information or to arrange an inspection contact the dedicated Cushman & Wakefield team.",100m² - 627m²,NaN,-27.460336,153.0278653
27,"Shop 1, 1525 Dandenong Road, Oakleigh, VIC 3166 - For Sale - Retail - ID: 379575",Contact Agent,Service Available - Hybrid Fibre Coaxial (HFC),"1525 Dandenong Road, Oakleigh, VIC","Grandfield Property Group is delighted to present this great entry-level commercial property investment opportunity for Private Sale.
Situated on the ground floor of Iconic ""Drummond Rise"" apartment complex, the property features:
*Fully leased to the showroom tenant until March 2022 with fixed annual rent increase
*Suitable for owner occupy after March 2022
*Area: 100 m2 approx.
*1 secured on-site car park
*Wide shop frontage and high traffic exposure
*Growing area with newly completed landmark ""Oros+"" apartment complex nearby including over 300 apartments, hotel and ground floor retail precinct further boosting the local population density
*Outstanding location on the corner of Warrigal Road & Dandenong Road in close proximity to Chadstone Shopping Centre and Oakleigh Shopping Precinct
Contact us now to find out more information and arrange for a private inspection by appointment.",100m²,NaN,-37.8928843,145.0905924
28,"Lot 1/455 Brunswick Street, Fortitude Valley, QLD 4006 - For Sale - Retail - ID: 353622",$1.35M,Not Currently Available,"455 Brunswick Street, Fortitude Valley, QLD","Re/max City are pleased to present Lot 1 / 455 Brunswick Street, a fully leased investment until 2024. It offers excellent exposure to Brunswick Street and a huge amount of daily passing traffic situated on a prime corner position. The tenancy is part of a bustling multi use complex in the heart of Fortitude Valley and is only 2km to the CBD.
- 140m2 plus 97m2 exclusive use area
- Fully equipped Cafe/ Restaurant with current tenant until 2024
- Glass Bifold doors on 3 sides leading to expansive outdoor area
- Prime corner site
- 1 car park included in rent
Benefiting from its prime position in Fortitude Valley with an excellent level of public transport and retail amenity within immediate proximity. This includes, the Fortitude Valley Train Station, Brunswick Street Mall and the James Street Cafe/Retail precinct.
Please call the Marketing Agents Geoff or Chris Esdale for further information and to schedule your inspection.",140m²,NaN,-27.4603659,153.0372006
29,"9, 18 FLORISTON ROAD, Boronia, VIC 3155 - Sale / Lease - Offices - ID: 341444","$230,000",Build Commenced,"18 FLORISTON ROAD, Boronia, VIC","- Building area of 75 square metres
- Suit owner occupier or investor
- Open plan configuration
- Internal Toilet
- Reverse cycle air conditioning and heating
- 2 allocated car parks plus 7 visitor spaces on site
COVID-19 UPDATE: Appleby Real Estate is committed to help 'flatten the curve' and our team are taking every precaution possible and keeping up to date and following government guidelines.
The Australian property market and Appleby Real Estate will continue to transact and we are still available for inspections; however, we will be strictly enforcing social distancing for the safety of our staff and clients. Thank you for your understanding.",75m²,NaN,-37.860587,145.28882
